invoice,group_itemDescription
1407_062015,"{'fruit', 'grains', 'other item'}"
1407_072014,"{'vegetables', 'grains'}"
1407_072015,"{'energy drinks', 'water', 'alcohol', 'meats', 'milk'}"
1407_102014,"{'grains', 'other foods'}"
1408_012015,"{'energy drinks', 'vegetables'}"
1408_072015,"{'energy drinks', 'vegetables', 'milk'}"
1408_092014,"{'meats', 'sugary'}"
1409_022015,"{'other foods', 'milk', 'bags'}"
1409_072015,"{'meats', 'fruit'}"
1410_042015,"{'grains', 'fruit', 'alcohol'}"
1410_052014,"{'dairy', 'milk'}"
1410_062014,"{'energy drinks', 'sugary', 'pet care', 'alcohol', 'other foods', 'meats', 'others', 'bags'}"
1410_072014,"{'vegetables', 'seasoning', 'other foods'}"
1410_082015,"{'energy drinks', 'milk', 'other foods'}"
1410_112014,{'water'}
1410_122014,"{'vegetables', 'grains', 'sugary', 'other item'}"
1411_022015,"{'meats', 'sugary'}"
1411_042014,"{'other drinks', 'bags'}"
1412_052015,"{'vegetables', 'other foods'}"
1412_062014,"{'other foods', 'others', 'other item'}"
1412_082014,"{'cosmetics', 'bags'}"
1412_112015,"{'meats', 'energy drinks', 'dairy'}"
1413_032014,"{'fruit', 'grains', 'water'}"
1413_072014,"{'meats', 'alcohol'}"
1413_122014,"{'energy drinks', 'seasoning'}"
1414_052015,"{'vegetables', 'milk'}"
1415_052014,"{'juice', 'meats'}"
1415_122014,"{'meats', 'other foods'}"
1416_042014,"{'grains', 'alcohol'}"
1416_042015,"{'meats', 'dairy', 'grains'}"
1416_062015,{'vegetables'}
1416_082014,"{'juice', 'dairy', 'vegetables'}"
1416_082015,"{'vegetables', 'grains', 'other item'}"
1417_012014,"{'meats', 'dairy'}"
1417_072015,"{'fruit', 'others'}"
1417_082014,"{'vegetables', 'milk'}"
1417_092015,"{'milk', 'other foods'}"
1417_102014,"{'dairy', 'other foods'}"
1418_022014,"{'dairy', 'grains', 'sugary'}"
1418_062014,"{'energy drinks', 'fruit', 'dairy', 'water'}"
1419_052014,"{'grains', 'other foods'}"
1419_072015,"{'cosmetics', 'vegetables', 'others'}"
1419_082014,"{'dairy', 'alcohol', 'others', 'grains'}"
1419_102014,"{'cosmetics', 'pet care'}"
1419_122014,"{'dairy', 'energy drinks', 'sugary', 'other foods'}"
1420_012015,"{'vegetables', 'sugary', 'other foods', 'other item', 'others'}"
1420_032014,"{'pet care', 'other foods'}"
1420_062015,"{'cosmetics', 'alcohol'}"
1420_082015,"{'dairy', 'other item'}"
1421_022015,"{'meats', 'fruit', 'others'}"
1421_072015,"{'juice', 'dairy', 'alcohol', 'other drinks'}"
1421_082014,"{'energy drinks', 'fruit'}"
1421_122014,"{'other drinks', 'bags'}"
1422_012015,"{'meats', 'fruit', 'other foods'}"
1422_022014,{'other item'}
1422_022015,"{'milk', 'dairy', 'alcohol', 'other item'}"
1422_042015,"{'grains', 'fruit', 'milk'}"
1422_052014,"{'juice', 'sugary'}"
1422_052015,"{'dairy', 'milk', 'other item'}"
1422_082015,"{'dairy', 'vegetables'}"
1423_022014,"{'fruit', 'bags'}"
1423_102014,"{'grains', 'sugary', 'seasoning'}"
1424_012014,"{'fruit', 'grains'}"
1424_042014,"{'fruit', 'vegetables'}"
1424_092015,"{'energy drinks', 'fruit'}"
1425_032015,"{'meats', 'grains'}"
1425_062014,"{'energy drinks', 'vegetables', 'seasoning', 'fruit', 'others', 'bags'}"
1425_092015,"{'fruit', 'vegetables'}"
1426_032014,"{'dairy', 'water', 'other foods'}"
1426_082015,"{'fruit', 'grains'}"
1426_102014,"{'dairy', 'vegetables'}"
1426_112014,"{'sugary', 'other item'}"
1427_042014,"{'alcohol', 'milk'}"
1427_062014,"{'dairy', 'vegetables'}"
1427_102015,"{'meats', 'energy drinks'}"
1427_112015,"{'energy drinks', 'vegetables', 'fruit', 'other item'}"
1427_122014,"{'grains', 'sugary', 'other item', 'meats', 'dairy'}"
1428_012015,"{'dairy', 'fruit', 'milk', 'other item'}"
1428_052014,"{'energy drinks', 'vegetables'}"
1428_082014,"{'energy drinks', 'milk', 'other foods'}"
1428_092014,"{'others', 'bags'}"
1428_102014,"{'fruit', 'grains'}"
1429_072015,"{'fruit', 'milk'}"
1429_102014,"{'dairy', 'alcohol', 'other foods'}"
1430_042015,"{'dairy', 'fruit', 'seasoning'}"
1430_092015,"{'meats', 'alcohol', 'sugary'}"
1430_102015,"{'alcohol', 'other item'}"
1430_122014,"{'energy drinks', 'alcohol', 'dairy', 'grains'}"
1430_122015,"{'meats', 'dairy', 'vegetables', 'other item'}"
1431_052015,"{'vegetables', 'milk'}"
1431_072015,"{'water', 'sugary', 'other foods', 'dairy', 'fruit'}"
1431_102014,"{'other item', 'other foods'}"
1432_022014,"{'fruit', 'sugary', 'pet care'}"
1432_042015,"{'vegetables', 'fruit'}"
1432_092014,"{'dairy', 'vegetables', 'grains'}"
1432_122014,"{'vegetables', 'alcohol'}"
1433_092014,"{'grains', 'dairy', 'others', 'other foods'}"
1434_032014,"{'grains', 'alcohol'}"
1434_112014,"{'alcohol', 'others', 'other foods', 'meats', 'milk'}"
1435_012015,"{'juice', 'meats', 'alcohol'}"
1435_042014,"{'sugary', 'other foods'}"
1435_042015,"{'meats', 'dairy', 'other item'}"
1435_062014,"{'energy drinks', 'sugary', 'seasoning'}"
1435_072014,"{'other foods', 'other item'}"
1436_012015,"{'other drinks', 'sugary'}"
1437_032014,"{'grains', 'other foods'}"
1437_082015,"{'energy drinks', 'other foods'}"
1438_012014,"{'dairy', 'milk', 'bags'}"
1438_022015,"{'meats', 'dairy', 'vegetables', 'other item'}"
1438_052014,"{'dairy', 'energy drinks'}"
1438_102015,"{'fruit', 'milk'}"
1438_112015,"{'other foods', 'other item', 'meats', 'dairy', 'milk'}"
1439_082015,"{'meats', 'milk'}"
1440_012014,"{'dairy', 'vegetables'}"
1440_062014,"{'juice', 'fruit'}"
1440_062015,"{'meats', 'fruit', 'bags'}"
1440_072014,"{'milk', 'sugary', 'other item'}"
1442_012014,"{'others', 'sugary'}"
1442_022014,"{'fruit', 'other foods'}"
1442_032015,"{'dairy', 'others', 'grains'}"
1442_072014,"{'dairy', 'fruit'}"
1442_072015,"{'vegetables', 'grains'}"
1442_082015,"{'meats', 'alcohol'}"
1443_012014,"{'meats', 'sugary'}"
1443_042015,"{'meats', 'vegetables'}"
1443_082014,"{'fruit', 'water', 'sugary'}"
1443_092015,"{'dairy', 'other foods', 'other item'}"
1444_042014,"{'dairy', 'fruit'}"
1444_062015,"{'dairy', 'vegetables', 'milk', 'sugary'}"
1444_072014,"{'milk', 'others', 'bags'}"
1444_102015,"{'vegetables', 'grains', 'cosmetics', 'meats', 'milk'}"
1444_122015,"{'meats', 'vegetables', 'other foods', 'other item'}"
1445_012014,"{'fruit', 'other item'}"
1445_022014,"{'vegetables', 'sugary'}"
1445_042014,"{'meats', 'water'}"
1446_022014,"{'fruit', 'other item'}"
1446_032014,"{'grains', 'bags'}"
1446_072014,"{'dairy', 'grains', 'water'}"
1447_052014,"{'juice', 'fruit', 'vegetables'}"
1448_032015,"{'meats', 'alcohol'}"
1448_052014,"{'vegetables', 'other foods'}"
1449_012015,"{'others', 'other foods'}"
1449_032015,"{'meats', 'fruit'}"
1449_052015,"{'energy drinks', 'milk'}"
1449_072014,"{'vegetables', 'milk'}"
1450_042014,"{'vegetables', 'bags'}"
1450_052014,{'alcohol'}
1450_082014,"{'alcohol', 'sugary'}"
1450_082015,"{'meats', 'energy drinks', 'alcohol', 'dairy'}"
1450_112014,{'vegetables'}
1450_112015,"{'dairy', 'energy drinks', 'bags'}"
1451_012015,"{'juice', 'fruit'}"
1451_082014,"{'dairy', 'fruit', 'others', 'water'}"
1452_032015,"{'meats', 'energy drinks', 'vegetables', 'dairy'}"
1452_052014,"{'seasoning', 'other foods'}"
1452_052015,"{'milk', 'bags'}"
1452_092015,"{'meats', 'other item'}"
1452_102015,"{'meats', 'sugary'}"
1452_112015,"{'grains', 'fruit', 'vegetables'}"
1453_032014,"{'juice', 'fruit'}"
1453_112014,"{'cosmetics', 'other foods'}"
1454_012014,"{'grains', 'other item'}"
1454_012015,"{'meats', 'fruit', 'other item'}"
1454_032014,"{'juice', 'meats'}"
1454_102015,"{'energy drinks', 'other foods', 'grains', 'other item'}"
1455_032015,"{'meats', 'sugary'}"
1456_012014,"{'cosmetics', 'alcohol'}"
1456_052014,"{'chemistry products', 'other foods'}"
1456_072015,"{'milk', 'other foods'}"
1456_092015,"{'vegetables', 'sugary', 'seasoning', 'other item', 'milk'}"
1456_112015,"{'others', 'other foods'}"
1456_122014,"{'bags', 'other foods'}"
1457_022014,"{'milk', 'pet care'}"
1457_042014,"{'dairy', 'grains'}"
1457_092014,"{'dairy', 'fruit', 'grains', 'seasoning'}"
1457_092015,"{'dairy', 'milk'}"
1457_122014,"{'vegetables', 'grains'}"
1458_022015,"{'fruit', 'sugary'}"
1458_082015,"{'meats', 'alcohol', 'sugary'}"
1458_102014,"{'fruit', 'other item'}"
1459_072015,"{'dairy', 'fruit', 'milk', 'sugary'}"
1460_012015,"{'meats', 'vegetables', 'others'}"
1460_062015,"{'meats', 'fruit', 'water', 'other foods'}"
1460_072014,"{'dairy', 'grains'}"
1461_052014,"{'vegetables', 'other item'}"
1461_112014,{'alcohol'}
1461_122015,"{'energy drinks', 'water', 'sugary', 'other foods'}"
1462_012014,"{'seasoning', 'other foods'}"
1462_092014,"{'water', 'other foods'}"
1463_092015,"{'fruit', 'sugary'}"
1463_112014,{'vegetables'}
1463_122015,"{'meats', 'vegetables'}"
1464_032015,"{'vegetables', 'sugary'}"
1464_072015,"{'meats', 'energy drinks', 'grains'}"
1465_012014,"{'meats', 'grains'}"
1465_032015,"{'meats', 'fruit'}"
1465_062014,"{'milk', 'others'}"
1465_062015,"{'meats', 'vegetables', 'bags'}"
1465_082014,"{'bags', 'others', 'other foods'}"
1465_092014,"{'dairy', 'grains'}"
1465_092015,"{'dairy', 'alcohol'}"
1466_012015,"{'meats', 'vegetables', 'seasoning'}"
1466_032014,"{'fruit', 'grains', 'sugary'}"
1466_042014,"{'vegetables', 'sugary'}"
1466_042015,"{'vegetables', 'other item'}"
1466_052014,"{'vegetables', 'other drinks', 'sugary'}"
1466_072014,"{'meats', 'sugary'}"
1466_082014,"{'water', 'grains', 'sugary', 'milk'}"
1466_092014,"{'grains', 'other item'}"
1467_022015,"{'meats', 'fruit'}"
1467_082015,"{'meats', 'vegetables', 'others'}"
1468_022014,"{'milk', 'sugary'}"
1468_052014,"{'vegetables', 'seasoning', 'bags'}"
1468_082014,"{'vegetables', 'other foods'}"
1468_092015,"{'dairy', 'vegetables', 'alcohol'}"
1468_122014,"{'grains', 'water', 'other foods', 'meats', 'dairy'}"
1469_082014,"{'energy drinks', 'other foods'}"
1470_112014,"{'juice', 'fruit'}"
1471_072014,{'dairy'}
1471_082014,"{'fruit', 'milk'}"
1472_022014,"{'meats', 'dairy', 'alcohol'}"
1472_052014,"{'dairy', 'cosmetics'}"
1472_062015,"{'vegetables', 'milk'}"
1472_092015,"{'vegetables', 'grains', 'water'}"
1472_102014,"{'dairy', 'sugary'}"
1472_112015,"{'dairy', 'vegetables', 'alcohol'}"
1473_012014,"{'meats', 'other item'}"
1473_022014,"{'energy drinks', 'grains', 'dairy'}"
1473_022015,"{'others', 'seasoning'}"
1473_102014,"{'grains', 'milk', 'other foods'}"
1474_022015,"{'dairy', 'alcohol', 'other foods'}"
1474_062015,"{'vegetables', 'grains'}"
1474_072015,"{'meats', 'other foods'}"
1474_082014,"{'meats', 'milk', 'others'}"
1474_102014,"{'meats', 'sugary'}"
1475_032015,"{'meats', 'grains', 'other foods'}"
1475_052014,"{'grains', 'others'}"
1475_092014,"{'dairy', 'vegetables'}"
1475_122015,"{'meats', 'alcohol'}"
1476_012014,"{'dairy', 'energy drinks'}"
1476_032014,"{'water', 'other foods'}"
1476_032015,"{'fruit', 'milk', 'others', 'vegetables'}"
1476_052014,"{'alcohol', 'milk'}"
1476_082015,"{'dairy', 'bags'}"
1477_032014,"{'other drinks', 'other foods'}"
1477_052015,"{'energy drinks', 'vegetables', 'alcohol', 'meats', 'fruit'}"
1477_082015,"{'dairy', 'alcohol', 'other item'}"
1477_112014,"{'meats', 'vegetables'}"
1477_112015,"{'meats', 'others'}"
1478_072014,"{'meats', 'dairy', 'grains', 'other foods'}"
1478_122014,{'dairy'}
1478_122015,"{'meats', 'water'}"
1479_032014,"{'energy drinks', 'fruit', 'milk'}"
1479_042014,"{'fruit', 'alcohol'}"
1479_052015,"{'vegetables', 'grains', 'seasoning', 'other item', 'meats', 'fruit', 'bags'}"
1480_042014,"{'fruit', 'vegetables'}"
1480_052014,"{'bags', 'fruit', 'chemistry products', 'other item'}"
1480_082015,"{'fruit', 'other foods'}"
1480_112015,"{'energy drinks', 'other item'}"
1480_122014,"{'fruit', 'water'}"
1481_012015,"{'dairy', 'fruit'}"
1481_042015,"{'dairy', 'fruit'}"
1482_022015,"{'fruit', 'sugary'}"
1482_062015,"{'energy drinks', 'seasoning', 'alcohol', 'dairy', 'milk', 'bags'}"
1482_072015,"{'meats', 'dairy', 'vegetables', 'alcohol'}"
1482_092014,"{'seasoning', 'bags'}"
1482_102014,"{'grains', 'other item'}"
1482_112015,"{'meats', 'other drinks'}"
1483_012014,"{'fruit', 'other foods', 'juice', 'meats', 'dairy', 'chemistry products'}"
1483_012015,"{'meats', 'fruit'}"
1483_032014,"{'grains', 'sugary'}"
1483_042015,"{'energy drinks', 'grains'}"
1483_062015,"{'dairy', 'vegetables', 'alcohol', 'other item'}"
1483_102014,{'dairy'}
1484_022015,"{'vegetables', 'milk'}"
1484_072015,"{'energy drinks', 'alcohol', 'dairy', 'other item'}"
1484_082015,"{'meats', 'alcohol'}"
1485_052015,"{'other foods', 'other item'}"
1485_122015,"{'energy drinks', 'vegetables'}"
1486_022014,"{'energy drinks', 'others'}"
1486_082015,"{'grains', 'house facilities'}"
1486_092015,"{'meats', 'other item'}"
1486_112014,"{'energy drinks', 'dairy', 'other item'}"
1486_112015,"{'dairy', 'fruit'}"
1486_122015,"{'meats', 'vegetables', 'seasoning', 'other item'}"
1487_022014,"{'juice', 'dairy', 'bags'}"
1487_092014,"{'juice', 'sugary', 'other item'}"
1488_012014,"{'meats', 'milk'}"
1488_062014,"{'vegetables', 'grains'}"
1488_062015,"{'fruit', 'other item'}"
1488_112015,"{'dairy', 'vegetables'}"
1489_032015,"{'meats', 'milk'}"
1489_042014,"{'meats', 'dairy'}"
1489_062014,"{'grains', 'others', 'seasoning'}"
1489_062015,"{'energy drinks', 'fruit', 'sugary', 'other item'}"
1489_072015,"{'vegetables', 'sugary'}"
1490_042015,"{'chemistry products', 'milk'}"
1490_102014,"{'dairy', 'chemistry products'}"
1491_042014,"{'meats', 'dairy', 'vegetables'}"
1491_062015,"{'meats', 'fruit'}"
1491_082014,"{'cosmetics', 'vegetables'}"
1491_102015,{'vegetables'}
1491_122015,{'meats'}
1492_012015,"{'dairy', 'vegetables', 'pet care'}"
1492_022014,"{'dairy', 'milk', 'other item'}"
1492_052014,"{'dairy', 'other foods'}"
1492_122014,"{'meats', 'dairy'}"
1493_012014,{'vegetables'}
1493_012015,"{'grains', 'seasoning'}"
1493_022015,"{'other drinks', 'others', 'milk'}"
1493_052015,"{'dairy', 'cosmetics', 'other foods'}"
1493_062014,"{'meats', 'dairy', 'other item'}"
1493_102014,"{'alcohol', 'milk'}"
1494_022014,"{'water', 'other item'}"
1494_032015,"{'meats', 'bags'}"
1494_052014,"{'dairy', 'other item'}"
1494_062015,"{'meats', 'milk'}"
1494_092015,"{'alcohol', 'milk', 'seasoning'}"
1494_112014,"{'fruit', 'pet care'}"
1495_082014,"{'meats', 'vegetables'}"
1495_092015,"{'vegetables', 'sugary', 'other foods', 'cosmetics', 'meats'}"
1495_102014,"{'alcohol', 'other foods'}"
1496_042014,"{'cosmetics', 'vegetables'}"
1497_042015,"{'meats', 'energy drinks', 'alcohol'}"
1497_052014,"{'other drinks', 'other foods'}"
1497_072015,"{'milk', 'bags'}"
1497_102015,"{'milk', 'other foods'}"
1498_052015,"{'meats', 'sugary'}"
1498_082014,"{'grains', 'other item'}"
1498_102014,"{'fruit', 'seasoning'}"
1498_102015,"{'vegetables', 'milk'}"
1499_022014,"{'dairy', 'energy drinks'}"
1499_052015,{'milk'}
1499_062015,"{'vegetables', 'other item'}"
1499_092015,"{'energy drinks', 'pet care'}"
1499_112014,"{'dairy', 'vegetables'}"
1500_012014,"{'juice', 'alcohol'}"
1500_032015,"{'meats', 'milk'}"
1500_062014,"{'cosmetics', 'sugary', 'other foods'}"
1500_062015,"{'meats', 'energy drinks', 'other item'}"
1500_082015,"{'meats', 'grains'}"
1500_092014,"{'grains', 'sugary', 'bags'}"
1501_032014,"{'chemistry products', 'milk'}"
1501_052014,"{'meats', 'seasoning'}"
1501_082014,{'dairy'}
1501_082015,"{'juice', 'dairy', 'others', 'water'}"
1502_042015,"{'meats', 'dairy', 'alcohol', 'milk'}"
1502_102015,{'vegetables'}
1503_072015,"{'juice', 'meats', 'others'}"
1503_082015,"{'alcohol', 'milk'}"
1503_122015,"{'meats', 'others', 'other foods'}"
1504_102014,"{'dairy', 'milk'}"
1504_112015,"{'dairy', 'milk'}"
1504_122014,"{'vegetables', 'sugary', 'alcohol', 'house facilities', 'meats', 'dairy', 'fruit'}"
1505_072015,"{'fruit', 'pet care', 'other item', 'bags'}"
1505_102015,"{'meats', 'grains', 'vegetables', 'alcohol'}"
1506_102014,"{'juice', 'grains'}"
1506_122014,"{'other item', 'pet care'}"
1507_042014,"{'meats', 'sugary', 'seasoning'}"
1507_052014,"{'juice', 'dairy', 'vegetables', 'other foods'}"
1507_062014,"{'dairy', 'cosmetics', 'water'}"
1507_062015,"{'meats', 'seasoning'}"
1507_092014,"{'milk', 'sugary', 'other foods'}"
1508_042014,"{'grains', 'others'}"
1508_092014,"{'dairy', 'other item'}"
1508_102015,"{'fruit', 'alcohol'}"
1508_112015,"{'meats', 'alcohol'}"
1509_042015,"{'vegetables', 'grains', 'meats', 'dairy', 'milk'}"
1509_052014,"{'fruit', 'other foods'}"
1509_052015,"{'alcohol', 'sugary'}"
1509_092014,"{'dairy', 'milk', 'water', 'other foods'}"
1509_122015,"{'vegetables', 'alcohol'}"
1510_032014,"{'juice', 'alcohol', 'other item'}"
1510_042014,"{'vegetables', 'milk'}"
1510_052015,"{'meats', 'sugary', 'other item'}"
1510_082015,"{'vegetables', 'milk'}"
1510_102014,"{'meats', 'others', 'sugary', 'milk'}"
1510_102015,"{'meats', 'energy drinks'}"
1510_122014,"{'sugary', 'other foods'}"
1511_032015,"{'sugary', 'bags'}"
1511_082014,"{'dairy', 'water'}"
1512_022015,"{'bags', 'milk', 'other foods'}"
1512_032014,"{'dairy', 'chemistry products', 'other item'}"
1512_042014,"{'juice', 'alcohol'}"
1512_092015,"{'meats', 'other foods'}"
1513_032015,"{'dairy', 'vegetables', 'others', 'sugary'}"
1513_052014,"{'alcohol', 'other foods'}"
1513_122015,"{'meats', 'alcohol'}"
1514_022014,"{'water', 'bags'}"
1514_022015,"{'milk', 'other item'}"
1514_082015,"{'grains', 'fruit', 'milk', 'other foods'}"
1514_112015,"{'vegetables', 'grains'}"
1515_052015,"{'meats', 'vegetables'}"
1515_062015,"{'alcohol', 'sugary'}"
1515_092014,"{'energy drinks', 'vegetables'}"
1515_092015,"{'energy drinks', 'grains', 'pet care', 'meats', 'dairy'}"
1515_112015,{'grains'}
1516_012015,"{'grains', 'other item'}"
1516_022014,"{'sugary', 'bags'}"
1517_012015,"{'meats', 'alcohol', 'other item'}"
1517_032014,"{'meats', 'energy drinks', 'vegetables', 'other foods'}"
1517_112014,"{'cosmetics', 'sugary'}"
1518_062015,"{'dairy', 'fruit'}"
1518_072015,"{'vegetables', 'grains'}"
1518_112015,"{'meats', 'seasoning'}"
1519_102014,"{'dairy', 'other item'}"
1520_022015,"{'dairy', 'seasoning'}"
1520_032014,"{'vegetables', 'other item'}"
1520_042014,"{'vegetables', 'fruit'}"
1521_112014,"{'milk', 'other foods'}"
1521_122014,"{'meats', 'seasoning', 'pet care'}"
1522_012014,"{'milk', 'other foods'}"
1522_032014,"{'meats', 'seasoning'}"
1522_062014,"{'fruit', 'sugary', 'other foods'}"
1522_072014,"{'grains', 'milk', 'bags'}"
1522_082014,"{'dairy', 'others'}"
1522_112014,"{'grains', 'others'}"
1522_122014,"{'meats', 'dairy', 'house facilities', 'other foods'}"
1523_032014,"{'alcohol', 'other item'}"
1523_032015,"{'water', 'other item', 'meats', 'fruit', 'others'}"
1523_092014,"{'vegetables', 'grains', 'other foods'}"
1524_052015,"{'energy drinks', 'vegetables', 'fruit', 'sugary'}"
1524_062014,"{'grains', 'other foods'}"
1524_062015,"{'dairy', 'milk', 'grains'}"
1525_072014,"{'meats', 'dairy', 'alcohol'}"
1525_102014,"{'meats', 'water'}"
1526_022014,"{'vegetables', 'other foods'}"
1526_072014,"{'dairy', 'bags', 'other item'}"
1526_112014,"{'seasoning', 'pet care'}"
1526_112015,"{'meats', 'dairy', 'milk'}"
1527_012014,"{'vegetables', 'other foods'}"
1527_042014,"{'energy drinks', 'seasoning'}"
1527_042015,"{'energy drinks', 'fruit', 'others', 'other item'}"
1527_052015,"{'meats', 'vegetables', 'milk'}"
1527_122015,"{'milk', 'water', 'other foods'}"
1528_012014,"{'vegetables', 'fruit'}"
1528_022015,"{'meats', 'dairy'}"
1528_092015,{'meats'}
1528_122014,"{'dairy', 'milk'}"
1529_012014,{'other foods'}
1529_052014,"{'vegetables', 'water', 'other foods'}"
1529_062015,"{'meats', 'energy drinks'}"
1530_052014,"{'juice', 'dairy', 'grains'}"
1530_112014,"{'grains', 'milk'}"
1531_012015,"{'meats', 'vegetables'}"
1531_092014,"{'meats', 'vegetables'}"
1532_062015,"{'fruit', 'milk', 'others'}"
1532_112014,"{'dairy', 'alcohol', 'other item'}"
1533_032014,"{'dairy', 'bags'}"
1533_072015,"{'fruit', 'vegetables'}"
1533_102014,"{'alcohol', 'other foods'}"
1534_022014,"{'vegetables', 'grains'}"
1534_052014,"{'meats', 'grains', 'water'}"
1534_082015,"{'grains', 'alcohol', 'cosmetics', 'other item', 'dairy', 'fruit', 'others'}"
1534_102015,"{'vegetables', 'water', 'sugary', 'other foods', 'bags'}"
1535_012015,"{'energy drinks', 'bags'}"
1535_032015,"{'fruit', 'other foods'}"
1535_062014,"{'meats', 'vegetables'}"
1535_082014,"{'others', 'milk'}"
1536_022015,"{'milk', 'other item'}"
1536_052015,"{'meats', 'grains', 'alcohol', 'dairy'}"
1536_072014,"{'vegetables', 'fruit'}"
1537_012015,"{'dairy', 'water'}"
1537_082014,"{'energy drinks', 'dairy', 'vegetables'}"
1538_082015,{'meats'}
1538_112015,"{'fruit', 'vegetables'}"
1538_122014,"{'meats', 'sugary'}"
1539_072015,"{'meats', 'other foods'}"
1539_092015,"{'fruit', 'other item', 'other foods'}"
1540_022015,"{'meats', 'fruit'}"
1540_082015,"{'dairy', 'milk', 'other drinks', 'other item'}"
1540_112014,"{'dairy', 'grains'}"
1540_112015,"{'juice', 'meats', 'cosmetics', 'vegetables'}"
1542_042015,{'dairy'}
1542_052015,"{'fruit', 'milk'}"
1542_072014,"{'meats', 'others'}"
1542_072015,"{'meats', 'milk'}"
1542_082014,"{'meats', 'sugary'}"
1542_092014,"{'dairy', 'sugary'}"
1544_012014,"{'vegetables', 'grains', 'bags'}"
1544_022015,"{'sugary', 'other foods'}"
1544_032014,"{'fruit', 'pet care'}"
1544_042014,"{'vegetables', 'grains'}"
1545_012014,"{'cosmetics', 'grains'}"
1545_022015,"{'fruit', 'alcohol'}"
1545_102015,"{'grains', 'vegetables', 'milk'}"
1546_022014,"{'meats', 'grains'}"
1546_032014,"{'energy drinks', 'seasoning'}"
1546_032015,"{'vegetables', 'water', 'alcohol', 'other foods', 'dairy'}"
1547_042015,"{'energy drinks', 'vegetables'}"
1547_072014,"{'vegetables', 'milk', 'bags'}"
1547_092014,"{'grains', 'milk'}"
1548_012014,"{'alcohol', 'grains'}"
1548_022014,"{'grains', 'milk'}"
1548_042014,"{'vegetables', 'alcohol'}"
1549_022014,"{'energy drinks', 'grains', 'other foods'}"
1549_032015,"{'energy drinks', 'other item'}"
1549_072014,"{'meats', 'water'}"
1550_032014,"{'grains', 'sugary', 'other foods'}"
1550_052014,"{'meats', 'grains'}"
1550_052015,"{'grains', 'other item'}"
1551_012015,"{'meats', 'energy drinks', 'other item'}"
1551_042014,"{'energy drinks', 'seasoning'}"
1551_072015,"{'dairy', 'sugary'}"
1551_112015,"{'vegetables', 'sugary', 'alcohol', 'meats', 'dairy', 'fruit'}"
1552_092014,"{'cosmetics', 'other item'}"
1553_032015,"{'meats', 'seasoning'}"
1553_052014,"{'seasoning', 'other foods'}"
1553_072014,"{'energy drinks', 'vegetables', 'dairy', 'fruit', 'milk'}"
1553_072015,"{'dairy', 'vegetables'}"
1553_092014,"{'energy drinks', 'fruit'}"
1554_012014,"{'cosmetics', 'seasoning'}"
1554_042014,"{'dairy', 'other item'}"
1554_052014,"{'energy drinks', 'fruit'}"
1554_052015,"{'meats', 'dairy', 'fruit', 'others', 'chemistry products'}"
1554_102014,"{'meats', 'grains'}"
1555_032015,"{'alcohol', 'other item'}"
1556_052014,"{'dairy', 'seasoning'}"
1557_042015,"{'meats', 'other item'}"
1557_102014,"{'sugary', 'other foods'}"
1558_062015,"{'vegetables', 'others'}"
1559_032015,"{'grains', 'fruit', 'others', 'other item'}"
1559_092014,"{'meats', 'vegetables'}"
1560_052014,"{'grains', 'other foods'}"
1561_012014,"{'dairy', 'vegetables'}"
1561_022014,{'grains'}
1561_032014,"{'juice', 'dairy'}"
1561_052014,"{'energy drinks', 'seasoning'}"
1561_052015,"{'sugary', 'pet care', 'house facilities', 'other foods', 'milk'}"
1561_072015,"{'grains', 'milk', 'other foods'}"
1561_102014,"{'alcohol', 'vegetables', 'others'}"
1562_012015,"{'vegetables', 'other item'}"
1562_072014,"{'energy drinks', 'other foods'}"
1562_112015,{'meats'}
1563_042014,{'grains'}
1563_112014,"{'dairy', 'fruit', 'other foods'}"
1564_062015,"{'dairy', 'fruit'}"
1564_102014,"{'fruit', 'alcohol'}"
1564_102015,"{'meats', 'grains'}"
1564_112014,"{'vegetables', 'fruit'}"
1565_022014,"{'sugary', 'other item'}"
1565_102014,"{'sugary', 'other item'}"
1565_102015,"{'energy drinks', 'vegetables', 'meats', 'fruit', 'milk'}"
1565_112015,"{'milk', 'alcohol', 'bags'}"
1565_122015,"{'vegetables', 'pet care', 'other foods', 'other drinks', 'meats', 'fruit', 'milk'}"
1566_012014,"{'alcohol', 'fruit', 'grains', 'seasoning'}"
1566_022015,"{'energy drinks', 'milk'}"
1566_032014,"{'fruit', 'others', 'sugary'}"
1566_042015,"{'fruit', 'seasoning'}"
1566_052014,"{'meats', 'fruit'}"
1566_052015,"{'dairy', 'milk', 'bags'}"
1566_062014,"{'dairy', 'vegetables'}"
1566_112015,"{'fruit', 'alcohol'}"
1567_012015,"{'others', 'sugary'}"
1567_032015,"{'sugary', 'alcohol', 'other foods', 'other item', 'meats', 'dairy', 'fruit', 'milk'}"
1567_082014,"{'vegetables', 'sugary'}"
1567_112015,"{'meats', 'dairy', 'water', 'bags'}"
1568_092014,"{'energy drinks', 'sugary', 'other foods'}"
1569_012014,"{'grains', 'other item'}"
1569_052014,"{'fruit', 'other item'}"
1569_092014,"{'juice', 'grains', 'vegetables', 'alcohol'}"
1570_032015,"{'vegetables', 'grains', 'other foods', 'meats', 'dairy'}"
1571_052015,"{'meats', 'vegetables', 'alcohol', 'milk'}"
