invoice,itemDescription
2079_082014,"{'domestic eggs', 'turkey'}"
2080_042015,"{'whole milk', 'tropical fruit'}"
2080_072014,"{'specialty vegetables', 'canned beer', 'long life bakery product'}"
2081_012015,"{'frankfurter', 'spices', 'butter milk', 'UHT-milk', 'citrus fruit', 'tropical fruit'}"
2081_022014,"{'seasonal products', 'hamburger meat'}"
2081_052014,"{'whole milk', 'hamburger meat'}"
2082_062015,"{'bottled water', 'pastry', 'UHT-milk'}"
2082_072015,"{'frankfurter', 'other vegetables'}"
2082_102014,"{'fruit/vegetable juice', 'butter', 'rolls/buns'}"
2082_112015,"{'domestic eggs', 'brown bread'}"
2083_032015,"{'bottled water', 'whole milk', 'brandy'}"
2083_062015,"{'other vegetables', 'sausage'}"
2083_072015,"{'grapes', 'ice cream', 'tropical fruit', 'sweet spreads'}"
2083_102014,"{'coffee', 'brown bread'}"
2084_082015,{'root vegetables'}
2084_112014,"{'cat food', 'beverages'}"
2085_032014,"{'soda', 'domestic eggs'}"
2085_032015,"{'pip fruit', 'beef'}"
2085_042015,"{'soda', 'domestic eggs', 'candy', 'pip fruit'}"
2086_022014,"{'bottled water', 'root vegetables'}"
2086_022015,"{'frozen vegetables', 'napkins'}"
2086_052014,"{'soda', 'whole milk'}"
2086_062014,"{'detergent', 'sparkling wine', 'liquor'}"
2086_082014,"{'butter', 'root vegetables'}"
2086_092015,"{'frankfurter', 'bottled beer', 'misc. beverages', 'pastry', 'root vegetables', 'chicken', 'salt', 'meat', 'other vegetables'}"
2087_022015,"{'other vegetables', 'citrus fruit'}"
2087_062014,"{'whole milk', 'dog food'}"
2087_082014,"{'seasonal products', 'pickled vegetables'}"
2087_092015,"{'whole milk', 'brown bread', 'pastry', 'tropical fruit'}"
2088_092014,"{'dishes', 'root vegetables', 'newspapers'}"
2088_092015,"{'yogurt', 'pastry'}"
2089_032014,"{'margarine', 'pastry'}"
2089_042015,"{'grapes', 'canned beer', 'UHT-milk', 'brown bread'}"
2089_082014,"{'soda', 'other vegetables'}"
2089_102014,"{'bottled beer', 'pasta'}"
2089_102015,"{'hard cheese', 'grapes', 'curd', 'canned beer', 'cream cheese ', 'whole milk'}"
2091_012014,"{'vinegar', 'photo/film'}"
2091_022015,"{'canned beer', 'candy', 'ice cream'}"
2091_072015,"{'onions', 'citrus fruit'}"
2091_102015,"{'brown bread', 'dish cleaner', 'pastry', 'pet care'}"
2092_012014,"{'salty snack', 'canned fish'}"
2092_042015,"{'sausage', 'pasta', 'beverages', 'brown bread', 'pip fruit', 'rolls/buns', 'tropical fruit'}"
2092_052015,"{'rum', 'sausage'}"
2092_062015,"{'margarine', 'root vegetables', 'newspapers'}"
2092_122014,"{'bottled water', 'salty snack'}"
2093_012014,"{'canned vegetables', 'napkins'}"
2093_022014,"{'whipped/sour cream', 'other vegetables', 'whole milk', 'waffles'}"
2093_032014,"{'oil', 'tropical fruit'}"
2093_122014,"{'whipped/sour cream', 'specialty bar'}"
2093_122015,"{'bottled beer', 'pastry', 'frozen potato products', 'whole milk', 'rolls/buns', 'candy'}"
2094_022014,{'whole milk'}
2094_032014,"{'coffee', 'bottled water'}"
2094_072014,"{'shopping bags', 'other vegetables'}"
2095_062015,"{'rolls/buns', 'pip fruit', 'whole milk', 'frozen meals'}"
2095_092015,"{'other vegetables', 'beverages'}"
2096_012015,"{'soda', 'sausage'}"
2097_012015,"{'yogurt', 'shopping bags', 'newspapers', 'chicken', 'rolls/buns', 'domestic eggs'}"
2097_032014,"{'dog food', 'white wine', 'newspapers'}"
2097_092014,"{'processed cheese', 'rolls/buns'}"
2098_022014,"{'fruit/vegetable juice', 'rolls/buns', 'canned beer', 'tropical fruit'}"
2098_102014,"{'flour', 'misc. beverages', 'pastry'}"
2100_012015,"{'dessert', 'other vegetables'}"
2100_032014,"{'chocolate', 'butter'}"
2100_052014,"{'yogurt', 'condensed milk'}"
2100_052015,"{'frankfurter', 'coffee', 'ice cream', 'specialty cheese'}"
2100_092015,"{'tropical fruit', 'dishes'}"
2100_102015,"{'frankfurter', 'citrus fruit', 'whole milk'}"
2101_042015,"{'citrus fruit', 'UHT-milk'}"
2101_072015,"{'chocolate', 'domestic eggs', 'root vegetables'}"
2101_102015,"{'onions', 'citrus fruit'}"
2101_122015,"{'onions', 'frozen vegetables', 'canned beer', 'sausage'}"
2102_012015,"{'fruit/vegetable juice', 'beef'}"
2102_022015,"{'root vegetables', 'rolls/buns'}"
2102_042014,"{'root vegetables', 'pet care'}"
2102_072014,"{'butter', 'yogurt'}"
2102_102015,"{'soda', 'other vegetables', 'vinegar', 'rolls/buns'}"
2103_112015,"{'dessert', 'frozen meals'}"
2104_022014,"{'domestic eggs', 'bottled water', 'pastry'}"
2104_022015,"{'candy', 'berries'}"
2104_092014,"{'berries', 'whole milk'}"
2104_102015,"{'yogurt', 'cream cheese '}"
2105_012015,"{'shopping bags', 'bottled water', 'tropical fruit'}"
2105_022014,"{'curd', 'rolls/buns'}"
2106_012014,"{'fruit/vegetable juice', 'pastry'}"
2106_062014,"{'other vegetables', 'whole milk'}"
2106_082015,"{'bottled water', 'other vegetables', 'cream cheese ', 'whole milk'}"
2106_112015,"{'frankfurter', 'yogurt', 'cream cheese ', 'baking powder'}"
2107_012015,"{'frankfurter', 'soda', 'bottled beer', 'margarine', 'butter', 'sugar', 'brown bread', 'coffee'}"
2107_022014,"{'salty snack', 'other vegetables'}"
2107_082014,"{'coffee', 'whole milk'}"
2107_102014,"{'canned beer', 'rolls/buns'}"
2107_112015,"{'frankfurter', 'bottled water'}"
2107_122014,"{'pip fruit', 'newspapers'}"
2108_012015,"{'mayonnaise', 'tropical fruit'}"
2108_092014,"{'whipped/sour cream', 'beverages'}"
2108_112015,"{'yogurt', 'tropical fruit'}"
2109_032014,"{'whipped/sour cream', 'oil'}"
2109_062014,"{'bottled water', 'bottled beer'}"
2109_092015,"{'salt', 'yogurt', 'male cosmetics', 'sugar'}"
2109_102015,"{'tropical fruit', 'sausage'}"
2110_052015,"{'coffee', 'domestic eggs'}"
2110_072015,"{'frankfurter', 'soda', 'tropical fruit', 'frozen meals'}"
2110_112014,"{'whole milk', 'newspapers'}"
2111_022015,"{'cream cheese ', 'candles'}"
2111_052014,"{'bottled beer', 'other vegetables'}"
2111_072014,"{'red/blush wine', 'tropical fruit'}"
2111_122014,"{'shopping bags', 'domestic eggs'}"
2112_032014,"{'soda', 'sliced cheese'}"
2112_062014,"{'popcorn', 'whole milk'}"
2113_072015,"{'whole milk', 'bottled water', 'margarine', 'sausage'}"
2113_082015,"{'pork', 'UHT-milk'}"
2113_092014,"{'yogurt', 'hard cheese'}"
2114_052015,"{'frankfurter', 'soups'}"
2114_062015,{'whole milk'}
2114_082014,"{'bottled water', 'dessert'}"
2115_062015,"{'rolls/buns', 'berries'}"
2115_092014,"{'whipped/sour cream', 'canned beer'}"
2115_112015,"{'soda', 'cling film/bags', 'hamburger meat'}"
2116_022014,"{'fruit/vegetable juice', 'other vegetables'}"
2116_082015,"{'canned beer', 'yogurt'}"
2117_022015,"{'long life bakery product', 'beef', 'pasta', 'citrus fruit', 'frozen vegetables', 'brown bread', 'specialty cheese', 'whipped/sour cream'}"
2117_032015,"{'bottled water', 'frozen meals'}"
2117_072015,"{'frankfurter', 'pastry', 'salt'}"
2118_012014,"{'butter milk', 'frozen vegetables'}"
2118_072015,"{'coffee', 'fish', 'pot plants'}"
2119_062014,"{'onions', 'cat food'}"
2119_092015,"{'soda', 'meat', 'other vegetables', 'whipped/sour cream'}"
2119_112015,"{'herbs', 'packaged fruit/vegetables'}"
2120_012014,"{'soda', 'napkins'}"
2120_012015,"{'whole milk', 'beef'}"
2120_022014,"{'red/blush wine', 'root vegetables'}"
2120_052014,"{'potato products', 'butter'}"
2120_062014,{'yogurt'}
2120_072014,"{'bottled beer', 'whole milk'}"
2120_072015,"{'pork', 'pip fruit'}"
2121_032014,"{'chocolate', 'bottled water'}"
2121_042014,"{'soda', 'flower (seeds)'}"
2122_052014,"{'pastry', 'pet care', 'hamburger meat'}"
2122_062014,"{'soda', 'oil', 'berries'}"
2122_072015,"{'tropical fruit', 'frozen dessert'}"
2122_092014,"{'domestic eggs', 'rolls/buns'}"
2123_062014,"{'pastry', 'cream cheese ', 'long life bakery product'}"
2125_022014,"{'soda', 'yogurt', 'oil', 'chewing gum'}"
2125_062015,"{'whipped/sour cream', 'frozen meals'}"
2126_042014,"{'other vegetables', 'brandy'}"
2127_012014,"{'fruit/vegetable juice', 'whole milk'}"
2127_012015,"{'pickled vegetables', 'pork'}"
2127_042014,"{'margarine', 'pastry'}"
2127_112014,"{'pip fruit', 'specialty cheese', 'margarine'}"
2127_112015,"{'bottled beer', 'ice cream', 'citrus fruit'}"
2128_042015,"{'rolls/buns', 'frozen meals'}"
2128_062015,"{'ham', 'citrus fruit'}"
2128_092015,"{'soda', 'chicken', 'brown bread'}"
2128_102015,"{'soda', 'sausage'}"
2128_112015,"{'chocolate marshmallow', 'whole milk'}"
2129_022014,"{'bottled water', 'oil'}"
2129_032015,"{'fruit/vegetable juice', 'pip fruit', 'whole milk'}"
2129_042015,"{'candy', 'bottled beer', 'yogurt', 'sausage'}"
2129_052014,"{'coffee', 'berries', 'tropical fruit', 'condensed milk'}"
2129_112015,"{'pork', 'other vegetables'}"
2131_022014,"{'soda', 'citrus fruit'}"
2131_042015,"{'yogurt', 'beef'}"
2131_082015,"{'other vegetables', 'sausage'}"
2131_092014,"{'grapes', 'rolls/buns'}"
2131_112014,"{'yogurt', 'other vegetables'}"
2131_122014,"{'bottled water', 'sparkling wine'}"
2132_012014,"{'sugar', 'waffles', 'whole milk', 'chocolate', 'candy'}"
2132_072014,"{'rolls/buns', 'root vegetables'}"
2132_082014,"{'chicken', 'pastry'}"
2132_122014,"{'whipped/sour cream', 'newspapers'}"
2133_042014,"{'tropical fruit', 'curd', 'other vegetables', 'sausage'}"
2133_052014,"{'pork', 'cat food', 'processed cheese', 'bottled water', 'other vegetables'}"
2133_052015,"{'soda', 'shopping bags', 'whole milk'}"
2133_082014,"{'fruit/vegetable juice', 'tropical fruit'}"
2133_112015,"{'pork', 'brown bread'}"
2134_012014,"{'soda', 'bottled water'}"
2134_082015,"{'whole milk', 'pastry'}"
2134_092015,"{'frozen vegetables', 'beef', 'liquor (appetizer)'}"
2135_012015,"{'whole milk', 'butter', 'cream cheese ', 'beef'}"
2135_022014,"{'instant coffee', 'salty snack', 'hard cheese', 'newspapers'}"
2136_102015,"{'bottled beer', 'whole milk'}"
2137_012014,"{'hard cheese', 'UHT-milk'}"
2137_042014,"{'napkins', 'canned vegetables'}"
2138_012014,"{'seasonal products', 'bottled water', 'whisky', 'white bread'}"
2138_022014,"{'pip fruit', 'long life bakery product'}"
2138_032014,"{'soda', 'yogurt', 'brown bread'}"
2138_042015,"{'shopping bags', 'pip fruit', 'white wine', 'root vegetables'}"
2138_052014,"{'curd', 'canned beer', 'whole milk'}"
2138_122014,"{'chocolate', 'rolls/buns'}"
2139_022014,"{'butter milk', 'other vegetables'}"
2139_032014,"{'instant coffee', 'chewing gum'}"
2139_042014,"{'soda', 'margarine'}"
2139_042015,"{'frankfurter', 'yogurt', 'citrus fruit', 'frozen vegetables'}"
2139_102014,"{'other vegetables', 'margarine'}"
2140_062014,"{'bottled beer', 'whole milk'}"
2140_092015,"{'onions', 'root vegetables'}"
2140_122015,"{'other vegetables', 'sausage'}"
2141_022014,"{'potato products', 'yogurt'}"
2141_042014,"{'butter', 'rolls/buns', 'sugar'}"
2141_082015,"{'citrus fruit', 'whole milk'}"
2142_052014,"{'seasonal products', 'bottled water'}"
2142_052015,"{'specialty bar', 'pork', 'yogurt', 'UHT-milk'}"
2142_062015,"{'hard cheese', 'liver loaf', 'curd', 'mayonnaise', 'root vegetables', 'pip fruit', 'rolls/buns', 'chocolate'}"
2142_082014,"{'Instant food products', 'waffles'}"
2142_102014,"{'frozen vegetables', 'tropical fruit'}"
2143_072015,"{'canned beer', 'tropical fruit', 'pet care'}"
2143_122014,"{'yogurt', 'frozen vegetables'}"
2143_122015,"{'soda', 'onions'}"
2144_022014,"{'yogurt', 'curd', 'beef', 'pasta'}"
2144_052014,"{'specialty bar', 'pork'}"
2144_052015,"{'onions', 'other vegetables'}"
2144_072014,"{'pork', 'sweet spreads'}"
2145_012015,"{'soda', 'onions'}"
2145_122015,"{'coffee', 'whole milk', 'chewing gum'}"
2146_052014,"{'bottled water', 'sausage'}"
2146_062015,"{'berries', 'newspapers'}"
2146_102014,"{'organic products', 'whole milk'}"
2147_022014,"{'soda', 'chocolate'}"
2147_042014,"{'popcorn', 'tropical fruit'}"
2147_092014,"{'salty snack', 'brown bread', 'canned vegetables'}"
2147_122015,"{'brown bread', 'waffles'}"
2148_012014,"{'soda', 'canned beer', 'cream cheese '}"
2148_062014,"{'citrus fruit', 'whole milk'}"
2148_072015,"{'hard cheese', 'newspapers'}"
2148_112014,"{'domestic eggs', 'tropical fruit'}"
2149_032014,"{'butter milk', 'other vegetables', 'long life bakery product'}"
2149_052015,"{'salty snack', 'softener'}"
2149_072014,"{'bathroom cleaner', 'whole milk'}"
2149_082014,"{'sugar', 'hamburger meat'}"
2151_032015,"{'soda', 'margarine', 'rolls/buns'}"
2151_072015,"{'other vegetables', 'beef'}"
2151_082014,"{'pip fruit', 'berries'}"
2151_092015,"{'pork', 'napkins'}"
2151_112014,"{'shopping bags', 'tropical fruit'}"
2152_032014,"{'other vegetables', 'waffles'}"
2152_032015,"{'chicken', 'whisky'}"
2152_072014,"{'whipped/sour cream', 'flour'}"
2152_072015,"{'fruit/vegetable juice', 'butter'}"
2152_112014,"{'soda', 'bottled water', 'whole milk'}"
2153_022014,"{'soda', 'shopping bags'}"
2153_122014,"{'domestic eggs', 'chewing gum'}"
2154_032015,"{'cream cheese ', 'whole milk'}"
2154_052014,"{'hygiene articles', 'bottled beer', 'pastry'}"
2154_082014,"{'onions', 'whole milk'}"
2154_092014,"{'soda', 'chocolate'}"
2154_102014,"{'soda', 'yogurt'}"
2155_032014,"{'soda', 'pip fruit'}"
2155_082014,"{'whole milk', 'candles'}"
2155_102014,"{'salty snack', 'condensed milk'}"
2155_112014,"{'salad dressing', 'frozen vegetables'}"
2156_022014,"{'soda', 'chocolate'}"
2156_052015,"{'whole milk', 'newspapers'}"
2156_072015,"{'bottled water', 'pip fruit', 'sausage'}"
2156_082014,"{'domestic eggs', 'rolls/buns'}"
2157_022014,"{'grapes', 'chocolate marshmallow', 'dishes'}"
2157_062014,"{'canned beer', 'beef'}"
2157_072015,"{'candy', 'newspapers', 'meat', 'beverages'}"
2157_102015,"{'fish', 'meat'}"
2158_012015,"{'misc. beverages', 'pickled vegetables', 'ham', 'whole milk', 'rolls/buns', 'fruit/vegetable juice', 'sliced cheese'}"
2158_062014,"{'brown bread', 'pot plants', 'newspapers'}"
2159_042015,"{'female sanitary products', 'rolls/buns'}"
2159_072015,"{'white bread', 'ham'}"
2159_082014,"{'shopping bags', 'pot plants', 'tropical fruit', 'sugar'}"
2160_012014,"{'margarine', 'rolls/buns'}"
2160_052014,"{'butter milk', 'beverages'}"
2160_062014,"{'butter', 'specialty chocolate'}"
2160_062015,"{'bottled beer', 'dishes'}"
2160_072014,"{'shopping bags', 'white bread', 'margarine', 'whole milk'}"
2161_042014,"{'soda', 'shopping bags'}"
2161_092014,"{'margarine', 'root vegetables'}"
2162_032014,"{'whipped/sour cream', 'cream cheese '}"
2162_052014,"{'whole milk', 'dog food'}"
2162_062015,"{'cat food', 'curd', 'soft cheese', 'pot plants', 'tropical fruit'}"
2164_012014,"{'curd cheese', 'pip fruit'}"
2164_032015,"{'semi-finished bread', 'fruit/vegetable juice', 'rolls/buns'}"
2164_052014,"{'ice cream', 'whole milk'}"
2164_062014,"{'cream cheese ', 'UHT-milk'}"
2164_082015,"{'coffee', 'bottled water', 'other vegetables', 'misc. beverages'}"
2164_092014,"{'pork', 'sugar'}"
2164_102014,"{'spices', 'tropical fruit'}"
2164_112014,"{'bottled beer', 'whole milk'}"
2164_112015,"{'butter milk', 'pasta', 'curd', 'brown bread', 'whole milk', 'rolls/buns'}"
2165_012015,"{'soda', 'other vegetables'}"
2165_042015,"{'coffee', 'chicken'}"
2165_062015,"{'soda', 'yogurt', 'citrus fruit', 'pastry'}"
2165_092014,{'bottled beer'}
2165_102014,"{'oil', 'root vegetables'}"
2166_042014,"{'red/blush wine', 'tropical fruit'}"
2166_072014,"{'canned fish', 'other vegetables', 'cream cheese ', 'root vegetables'}"
2166_102015,"{'other vegetables', 'sausage', 'waffles'}"
2166_112014,"{'bottled water', 'brown bread'}"
2166_122015,"{'soda', 'whipped/sour cream', 'rolls/buns', 'sauces'}"
2167_032015,"{'soda', 'citrus fruit'}"
2167_052015,"{'pork', 'specialty chocolate'}"
2167_082015,"{'whole milk', 'newspapers'}"
2167_102015,"{'liquor', 'mayonnaise', 'tropical fruit'}"
2168_062014,"{'fruit/vegetable juice', 'butter'}"
2168_072014,"{'grapes', 'domestic eggs'}"
2168_112015,"{'bottled beer', 'rolls/buns', 'waffles'}"
2169_012015,"{'detergent', 'salty snack'}"
2169_052014,"{'citrus fruit', 'long life bakery product'}"
2169_062014,"{'pickled vegetables', 'bottled beer', 'tropical fruit'}"
2169_092015,"{'rum', 'meat'}"
2169_102015,"{'citrus fruit', 'whole milk'}"
2170_022014,"{'fish', 'root vegetables'}"
2170_062015,"{'canned beer', 'ham'}"
2170_102015,"{'bottled beer', 'frozen potato products', 'citrus fruit', 'sugar', 'sauces', 'fruit/vegetable juice'}"
2171_022015,"{'curd', 'sausage'}"
2171_032015,"{'bottled beer', 'margarine', 'long life bakery product', 'hamburger meat', 'soft cheese', 'whole milk', 'rolls/buns'}"
2171_042015,"{'ice cream', 'beef'}"
2171_062015,"{'frankfurter', 'pip fruit', 'meat', 'roll products '}"
2171_072015,"{'butter', 'citrus fruit'}"
2172_022015,"{'specialty chocolate', 'citrus fruit', 'sugar'}"
2172_062014,"{'yogurt', 'berries'}"
2173_112015,"{'chicken', 'long life bakery product'}"
2173_122014,"{'other vegetables', 'pastry'}"
2174_052014,"{'bottled water', 'brown bread', 'domestic eggs'}"
2174_072014,"{'other vegetables', 'frozen vegetables'}"
2174_092014,"{'cereals', 'rolls/buns'}"
2175_022014,"{'whipped/sour cream', 'butter', 'turkey'}"
2175_032014,"{'rolls/buns', 'soft cheese'}"
2175_052014,"{'frozen fish', 'pastry'}"
2175_062015,"{'other vegetables', 'sliced cheese'}"
2175_082014,"{'soda', 'male cosmetics'}"
2175_122014,"{'shopping bags', 'chicken'}"
2176_042015,"{'frankfurter', 'long life bakery product', 'whipped/sour cream', 'pastry'}"
2176_052014,"{'bottled water', 'butter', 'pip fruit'}"
2176_062015,"{'brown bread', 'whole milk'}"
2176_082015,"{'onions', 'frozen meals'}"
2176_092014,"{'hard cheese', 'rolls/buns'}"
2177_022014,"{'female sanitary products', 'domestic eggs'}"
2177_062014,"{'salty snack', 'yogurt'}"
2177_082014,"{'coffee', 'soups'}"
2178_012014,"{'beef', 'salt'}"
2178_032015,"{'salty snack', 'beef', 'sausage'}"
2178_042014,"{'chicken', 'root vegetables'}"
2178_112014,"{'male cosmetics', 'beef'}"
2178_122015,"{'frankfurter', 'female sanitary products'}"
2179_042015,"{'coffee', 'dessert', 'cream cheese ', 'whole milk'}"
2180_092014,"{'butter', 'other vegetables', 'waffles'}"
2180_122014,"{'butter', 'other vegetables'}"
2181_042014,"{'frankfurter', 'UHT-milk'}"
2181_052014,"{'soda', 'bottled water'}"
2181_062015,"{'pastry', 'male cosmetics', 'roll products '}"
2183_072014,"{'frankfurter', 'vinegar', 'domestic eggs', 'other vegetables', 'frozen dessert'}"
2183_122014,"{'whipped/sour cream', 'yogurt'}"
2184_012015,"{'frankfurter', 'other vegetables', 'rolls/buns', 'soda'}"
2184_052014,"{'shopping bags', 'whole milk'}"
2184_062015,"{'popcorn', 'pork', 'margarine', 'beef', 'butter'}"
2184_072015,"{'margarine', 'ham', 'beverages'}"
2184_092015,"{'yogurt', 'bottled beer', 'misc. beverages', 'oil', 'ham'}"
2184_112015,"{'pork', 'curd'}"
2184_122014,"{'soda', 'onions'}"
2185_012014,"{'flour', 'rolls/buns'}"
2185_042014,"{'other vegetables', 'cream cheese '}"
2185_052014,"{'other vegetables', 'citrus fruit'}"
2185_112015,"{'chicken', 'canned beer', 'ham', 'other vegetables', 'napkins'}"
2186_012015,"{'soda', 'frankfurter', 'citrus fruit', 'sugar', 'brown bread', 'zwieback', 'whole milk', 'whipped/sour cream', 'domestic eggs', 'other vegetables'}"
2186_022015,"{'soda', 'canned beer', 'sausage'}"
2186_062014,"{'bottled water', 'whole milk'}"
2186_122014,"{'soda', 'whipped/sour cream', 'tropical fruit'}"
2187_082014,"{'newspapers', 'beverages'}"
2187_082015,"{'whole milk', 'sugar'}"
2187_122014,"{'domestic eggs', 'specialty bar'}"
2188_072015,"{'dishes', 'pip fruit', 'rolls/buns', 'hamburger meat'}"
2188_082014,"{'dessert', 'whole milk'}"
2188_082015,"{'fruit/vegetable juice', 'salty snack'}"
2188_112015,"{'bottled beer', 'rolls/buns'}"
2190_052015,"{'rolls/buns', 'root vegetables', 'tropical fruit'}"
2190_112015,"{'bottled water', 'citrus fruit', 'napkins'}"
2191_102014,"{'red/blush wine', 'dessert'}"
2191_102015,"{'butter milk', 'yogurt', 'misc. beverages', 'beef', 'root vegetables', 'pip fruit', 'whole milk', 'specialty cheese'}"
2192_102015,"{'frankfurter', 'soda'}"
2192_112014,"{'seasonal products', 'margarine', 'rolls/buns'}"
2193_032015,"{'soda', 'hamburger meat'}"
2193_042015,"{'bottled beer', 'yogurt', 'beef', 'specialty chocolate', 'whole milk'}"
2193_052014,"{'bottled beer', 'whole milk'}"
2193_072015,"{'sliced cheese', 'pastry', 'liquor (appetizer)'}"
2193_082014,"{'onions', 'waffles'}"
2193_082015,"{'cream cheese ', 'root vegetables'}"
2193_092015,"{'citrus fruit', 'whole milk'}"
2193_102014,"{'specialty bar', 'pastry'}"
2193_112014,"{'cling film/bags', 'root vegetables', 'pip fruit', 'chocolate', 'candy'}"
2193_122014,"{'dessert', 'beef'}"
2194_052015,"{'red/blush wine', 'canned beer', 'salty snack'}"
2194_062014,"{'whole milk', 'frozen vegetables', 'beef', 'soda'}"
2194_092014,"{'shopping bags', 'hygiene articles'}"
2194_092015,"{'soda', 'dessert', 'UHT-milk', 'napkins'}"
2194_112015,"{'pip fruit', 'other vegetables'}"
2195_042014,"{'margarine', 'misc. beverages'}"
2195_082014,"{'canned beer', 'sliced cheese'}"
2195_092014,"{'shopping bags', 'other vegetables'}"
2195_102015,"{'canned fish', 'tropical fruit'}"
2196_032014,"{'flour', 'whole milk'}"
2196_062014,"{'sliced cheese', 'beef'}"
2196_082015,"{'soda', 'bottled water', 'other vegetables', 'tropical fruit'}"
2196_092015,"{'house keeping products', 'meat'}"
2196_122014,"{'candy', 'curd', 'yogurt', 'whole milk'}"
2197_062014,"{'onions', 'long life bakery product'}"
2198_102014,"{'chicken', 'cream'}"
2199_012014,"{'coffee', 'rolls/buns'}"
2199_022014,"{'citrus fruit', 'rolls/buns'}"
2200_082015,"{'chicken', 'citrus fruit', 'sugar'}"
2200_102015,"{'white bread', 'pork', 'fruit/vegetable juice', 'soft cheese'}"
2200_112015,"{'grapes', 'onions', 'berries'}"
2201_032015,"{'specialty chocolate', 'butter milk'}"
2201_042014,"{'other vegetables', 'citrus fruit'}"
2201_052014,"{'ice cream', 'whole milk'}"
2201_052015,"{'sausage', 'curd', 'bottled water', 'frozen meals', 'hygiene articles', 'rolls/buns', 'chocolate', 'domestic eggs'}"
2202_022014,"{'coffee', 'sauces'}"
2202_022015,"{'pork', 'curd'}"
2202_052015,"{'rolls/buns', 'tropical fruit'}"
2202_062015,"{'frankfurter', 'root vegetables'}"
2202_072015,"{'turkey', 'white wine', 'newspapers'}"
2202_092015,"{'tidbits', 'frozen meals'}"
2203_062015,"{'onions', 'prosecco'}"
2204_022014,"{'bottled beer', 'other vegetables'}"
2204_062014,"{'chicken', 'sliced cheese'}"
2204_072015,"{'detergent', 'pork', 'bottled beer'}"
2204_092014,"{'popcorn', 'brown bread', 'long life bakery product'}"
2204_092015,"{'soda', 'liquor (appetizer)'}"
2205_072015,"{'pastry', 'citrus fruit', 'rolls/buns', 'whole milk', 'whipped/sour cream'}"
2205_102014,"{'soda', 'tropical fruit', 'hamburger meat'}"
2206_032015,"{'herbs', 'pudding powder', 'citrus fruit'}"
2206_062014,"{'canned beer', 'frozen vegetables'}"
2206_102015,"{'ham', 'rolls/buns'}"
2207_032014,"{'coffee', 'onions'}"
2207_082014,"{'pastry', 'dog food'}"
2207_082015,"{'frankfurter', 'cream cheese '}"
2207_092014,"{'pip fruit', 'rolls/buns'}"
2208_072015,"{'frankfurter', 'soda', 'pork', 'hamburger meat', 'curd', 'root vegetables', 'cake bar', 'coffee'}"
2209_032015,"{'butter', 'bottled beer', 'other vegetables'}"
2209_042015,"{'bottled beer', 'other vegetables', 'rolls/buns'}"
2209_072015,"{'tidbits', 'onions', 'cat food', 'tropical fruit'}"
2209_082014,"{'photo/film', 'napkins'}"
2209_122014,"{'whole milk', 'root vegetables'}"
2210_012015,"{'frankfurter', 'specialty bar', 'dishes', 'rice', 'whole milk'}"
2210_072015,"{'rolls/buns', 'sausage'}"
2210_092015,"{'pork', 'sweet spreads', 'hamburger meat', 'whole milk', 'fruit/vegetable juice', 'domestic eggs'}"
2210_122014,"{'curd', 'beef', 'napkins'}"
2211_012015,"{'butter', 'pastry'}"
2211_032015,"{'meat spreads', 'packaged fruit/vegetables', 'flour', 'canned beer', 'dessert'}"
2211_092015,"{'processed cheese', 'canned beer', 'whole milk'}"
2211_112015,"{'other vegetables', 'newspapers'}"
2212_042015,"{'citrus fruit', 'pastry', 'salt'}"
2212_082014,"{'soda', 'butter'}"
2212_082015,"{'newspapers', 'dessert', 'hamburger meat'}"
2212_092015,"{'curd', 'other vegetables'}"
2212_102015,"{'bottled water', 'butter milk'}"
2213_082014,"{'white bread', 'yogurt'}"
2214_012015,"{'soda', 'red/blush wine', 'root vegetables', 'butter milk'}"
2215_022014,"{'curd', 'napkins'}"
2215_032014,"{'bottled beer', 'whole milk'}"
2215_062014,"{'flower (seeds)', 'rolls/buns'}"
2215_072015,"{'salty snack', 'frozen vegetables'}"
2215_092014,"{'white bread', 'whole milk'}"
2215_112015,"{'cream cheese ', 'citrus fruit'}"
2215_122014,"{'newspapers', 'hamburger meat'}"
2216_112015,"{'other vegetables', 'tropical fruit'}"
2217_022015,"{'soda', 'domestic eggs', 'tropical fruit'}"
2217_042014,"{'whipped/sour cream', 'curd'}"
2217_092014,"{'candy', 'long life bakery product'}"
2218_022015,"{'herbs', 'frozen dessert', 'whole milk'}"
2218_052014,"{'root vegetables', 'sausage'}"
2218_062014,"{'candy', 'brown bread', 'canned beer', 'pot plants'}"
2218_092014,"{'soda', 'pip fruit'}"
2218_122014,"{'brown bread', 'whole milk'}"
2219_042015,"{'other vegetables', 'beverages'}"
2219_052014,{'root vegetables'}
2219_092014,"{'whipped/sour cream', 'margarine'}"
2220_042015,"{'soda', 'bottled beer', 'yogurt', 'sausage'}"
2220_072015,"{'pastry', 'tropical fruit'}"
2221_062014,"{'yogurt', 'beef'}"
2221_122015,"{'soda', 'pork', 'shopping bags', 'other vegetables'}"
2222_022014,"{'curd cheese', 'grapes', 'cling film/bags', 'canned vegetables', 'chewing gum'}"
2222_032014,"{'pork', 'rolls/buns'}"
2222_072014,"{'seasonal products', 'sugar'}"
2222_072015,"{'butter', 'other vegetables', 'berries', 'newspapers'}"
2222_082015,"{'yogurt', 'dental care'}"
